getUpBack,V1.0,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,LShoulderPitch,RShoulderPitch,HeadPitch,RArmRoll,LArmRoll,RArmYaw,LArmYaw,RShoulderYaw,LShoulderYaw,8,1
00:00:000,Pose1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
00:00:040,Pose2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8,0,0,0,0,0,0
00:00:080,Pose3,0,0,-0.7,0,0,0,0,0,-0.7,0,0,0,1,1,0.8,0,0,0,0,0,0
00:00:120,Pose4,0,0,-1.5,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0
00:00:160,Pose5,-1,0,-1.5,0,0,0,-1,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0
00:00:200,Pose6,-1,0,-1.5,0,1,0,-1,0,-1.5,0,1,0,0,0,0,0,0,0,0,0,0
00:00:240,Pose7,-1,0,-1.5,0.3,1,0,-1,0,-1.5,0.3,1,0,0,0,0,0,0,0,0,0,0
00:00:280,Pose8,-1,0,-1.5,0.6,1,0,-1,0,-1.5,0.6,1,0,0,0,0,0,0,0,0,0,0
00:00:320,Pose9,-1,1,-1.6,0.9,1,0,-1,-1,-1.6,0.9,1,0,0,0,0,0,0,0,0,0,0
00:00:360,Pose10,-1,1,-1.6,0.9,1,-0.6,-1,-1,-1.6,0.9,1,0.6,-0.2,-0.2,0,0,0,0,0,0,0
00:00:400,Pose11,-1,1,-1.7,1.2,1,-0.6,-1,-1,-1.7,1.2,1,0.6,-0.2,-0.2,0,0,0,0,0,0,0
00:00:440,Pose12,-1,1,-1.7,1.5,1,-0.6,-1,-1,-1.7,1.5,1,0.6,-0.2,-0.2,0,0,0,0,0,0,0
00:00:480,Pose13,-1.2,1,-1.7,1.7,1,-0.5,-1.2,-1,-1.7,1.7,1,0.5,-0.2,-0.2,0,0,0,0,0,0,0
00:00:520,Pose14,-1.2,1,-1.5,1.7,0.7,-0.5,-1.2,-1,-1.5,1.7,0.7,0.5,-0.2,-0.2,0,0,0,0,0,0,0
00:00:560,Pose15,-1.2,1,-1.3,1.8,0.2,-0.5,-1.2,-1,-1.3,1.8,0.2,0.5,-0.2,-0.2,0,0,0,0,0,0,0
00:00:600,Pose16,-1,1,-1.1,1.9,-0.2,-0.5,-1,-1,-1.1,1.9,-0.2,0.5,1,1,0,0,0,0,0,0,0
00:00:640,Pose17,-1,0.7,-1.1,1.9,-0.2,-0.5,-1,-0.7,-1.1,1.9,-0.2,0.5,1.3,1.3,0,0,0,0,0,0,0
00:00:680,Pose18,-0.9,0.7,-0.9,1.9,-0.4,-0.5,-0.9,-0.7,-0.9,1.9,-0.4,0.5,1.3,1.3,0,0,0,0,0,0,0
00:00:720,Pose19,-0.9,0.6,-0.7,1.6,-0.4,-0.5,-0.9,-0.6,-0.7,1.6,-0.4,0.5,1.3,1.3,0,0,0,0,0,0,0
00:00:760,Pose20,-0.8,0.5,-0.6,1.4,-0.4,-0.5,-0.8,-0.5,-0.6,1.4,-0.4,0.5,1.3,1.3,0,0,0,0,0,0,0
00:00:800,Pose21,-0.7,0.4,-0.5,1.2,-0.3,-0.4,-0.7,-0.4,-0.5,1.2,-0.3,0.4,1.3,1.3,0,0,0,0,0,0,0
00:00:840,Pose22,-0.6,0.4,-0.4,1,-0.3,-0.4,-0.6,-0.4,-0.4,1,-0.3,0.4,1.3,1.3,0,0,0,0,0,0,0
00:00:880,Pose23,-0.5,0.3,-0.3,0.8,-0.2,-0.3,-0.5,-0.3,-0.3,0.8,-0.2,0.3,1.3,1.3,0,0,0,0,0,0,0
00:00:920,Pose24,-0.4,0.2,-0.2,0.6,-0.1,-0.2,-0.4,-0.2,-0.2,0.6,-0.1,0.2,1.3,1.3,0,0,0,0,0,0,0
00:00:960,Pose25,-0.3,0.1,-0.1,0.3,0,-0.1,-0.3,-0.1,-0.1,0.3,0,0.1,1.3,1.3,0,0,0,0,0,0,0
00:01:000,Pose26,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,0,0,0,0,0,0
00:01:040,Pose27,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,0,0,0,0,0,0
